Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Total,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Total,GE,abt-total,3661,1416,2245,2279,895,1384,1382,521,861
Total,GE,EFZ,3504,1416,2088,2170,895,1275,1334,521,813
Total,GE,EBA,157,0,157,109,0,109,48,0,48
Total,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Total,JU,abt-total,935,181,754,576,82,494,359,99,260
Total,JU,EFZ,886,174,712,547,82,465,339,92,247
Total,JU,EBA,49,7,42,29,0,29,20,7,13
Total,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,,abt-total,27,10,17,12,2,10,15,8,7
Musik und darstellende Kunst,,EFZ,27,10,17,12,2,10,15,8,7
Musik und darstellende Kunst,,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZH,abt-total,17,0,17,10,0,10,7,0,7
Musik und darstellende Kunst,ZH,EFZ,17,0,17,10,0,10,7,0,7
Musik und darstellende Kunst,ZH,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BE,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BE,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BE,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,LU,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,LU,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,LU,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,UR,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,UR,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,UR,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SZ,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SZ,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SZ,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,OW,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,OW,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,OW,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NW,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NW,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NW,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GL,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GL,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GL,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZG,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZG,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZG,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
