Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Total,,abt-total,75672,4655,71017,43081,2690,40391,32591,1965,30626
Total,,EFZ,69223,4329,64894,39845,2533,37312,29378,1796,27582
Total,,EBA,4806,112,4694,2716,72,2644,2090,40,2050
Total,,nReglementiert,1643,214,1429,520,85,435,1123,129,994
Total,ZH,abt-total,12089,190,11899,6495,121,6374,5594,69,5525
Total,ZH,EFZ,10992,128,10864,5951,76,5875,5041,52,4989
Total,ZH,EBA,742,8,734,446,8,438,296,0,296
Total,ZH,nReglementiert,355,54,301,98,37,61,257,17,240
Total,BE,abt-total,10194,465,9729,5598,314,5284,4596,151,4445
Total,BE,EFZ,9401,396,9005,5222,253,4969,4179,143,4036
Total,BE,EBA,662,69,593,365,61,304,297,8,289
Total,BE,nReglementiert,131,0,131,11,0,11,120,0,120
Total,LU,abt-total,3998,41,3957,2255,24,2231,1743,17,1726
Total,LU,EFZ,3584,16,3568,2069,6,2063,1515,10,1505
Total,LU,EBA,296,0,296,156,0,156,140,0,140
Total,LU,nReglementiert,118,25,93,30,18,12,88,7,81
Total,UR,abt-total,420,0,420,236,0,236,184,0,184
Total,UR,EFZ,411,0,411,233,0,233,178,0,178
Total,UR,EBA,9,0,9,3,0,3,6,0,6
Total,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Total,SZ,abt-total,1149,0,1149,675,0,675,474,0,474
Total,SZ,EFZ,1075,0,1075,629,0,629,446,0,446
Total,SZ,EBA,74,0,74,46,0,46,28,0,28
Total,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Total,OW,abt-total,360,0,360,232,0,232,128,0,128
Total,OW,EFZ,339,0,339,219,0,219,120,0,120
Total,OW,EBA,21,0,21,13,0,13,8,0,8
Total,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Total,NW,abt-total,384,0,384,215,0,215,169,0,169
Total,NW,EFZ,372,0,372,206,0,206,166,0,166
Total,NW,EBA,12,0,12,9,0,9,3,0,3
Total,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Total,GL,abt-total,485,0,485,271,0,271,214,0,214
Total,GL,EFZ,466,0,466,261,0,261,205,0,205
Total,GL,EBA,19,0,19,10,0,10,9,0,9
Total,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Total,ZG,abt-total,1169,0,1169,658,0,658,511,0,511
Total,ZG,EFZ,1094,0,1094,624,0,624,470,0,470
Total,ZG,EBA,75,0,75,34,0,34,41,0,41
Total,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Total,FR,abt-total,2691,192,2499,1621,106,1515,1070,86,984
Total,FR,EFZ,2522,170,2352,1546,106,1440,976,64,912
Total,FR,EBA,128,17,111,72,0,72,56,17,39
Total,FR,nReglementiert,41,5,36,3,0,3,38,5,33
Total,SO,abt-total,2232,13,2219,1228,9,1219,1004,4,1000
Total,SO,EFZ,1951,13,1938,1090,9,1081,861,4,857
Total,SO,EBA,233,0,233,137,0,137,96,0,96
Total,SO,nReglementiert,48,0,48,1,0,1,47,0,47
Total,BS,abt-total,1994,59,1935,1013,33,980,981,26,955
Total,BS,EFZ,1691,45,1646,899,29,870,792,16,776
Total,BS,EBA,242,1,241,111,1,110,131,0,131
Total,BS,nReglementiert,61,13,48,3,3,0,58,10,48
Total,BL,abt-total,2126,0,2126,1364,0,1364,762,0,762
Total,BL,EFZ,1767,0,1767,1104,0,1104,663,0,663
Total,BL,EBA,199,0,199,124,0,124,75,0,75
Total,Bl,nReglementiert,160,0,160,136,0,136,24,0,24
Total,SH,abt-total,882,0,882,483,0,483,399,0,399
Total,SH,EFZ,814,0,814,448,0,448,366,0,366
Total,SH,EBA,51,0,51,33,0,33,18,0,18
Total,SH,nReglementiert,17,0,17,2,0,2,15,0,15
Total,AR,abt-total,482,0,482,265,0,265,217,0,217
Total,AR,EFZ,457,0,457,253,0,253,204,0,204
Total,AR,EBA,25,0,25,12,0,12,13,0,13
Total,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Total,AI,abt-total,161,0,161,84,0,84,77,0,77
Total,AI,EFZ,156,0,156,84,0,84,72,0,72
Total,AI,EBA,5,0,5,0,0,0,5,0,5
Total,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Total,SG,abt-total,5571,21,5550,3140,3,3137,2431,18,2413
Total,SG,EFZ,5168,21,5147,2938,3,2935,2230,18,2212
Total,SG,EBA,388,0,388,196,0,196,192,0,192
Total,SG,nReglementiert,15,0,15,6,0,6,9,0,9
Total,GR,abt-total,2026,0,2026,1159,0,1159,867,0,867
Total,GR,EFZ,1882,0,1882,1087,0,1087,795,0,795
Total,GR,EBA,119,0,119,64,0,64,55,0,55
Total,GR,nReglementiert,25,0,25,8,0,8,17,0,17
Total,AG,abt-total,5478,12,5466,3094,12,3082,2384,0,2384
Total,AG,EFZ,5135,0,5135,2898,0,2898,2237,0,2237
Total,AG,EBA,331,0,331,184,0,184,147,0,147
Total,AG,nReglementiert,12,12,0,12,12,0,0,0,0
Total,TG,abt-total,2458,0,2458,1449,0,1449,1009,0,1009
Total,TG,EFZ,2262,0,2262,1336,0,1336,926,0,926
Total,TG,EBA,183,0,183,112,0,112,71,0,71
Total,TG,nReglementiert,13,0,13,1,0,1,12,0,12
Total,TI,abt-total,3034,692,2342,1925,353,1572,1109,339,770
Total,TI,EFZ,2871,692,2179,1829,353,1476,1042,339,703
Total,TI,EBA,138,0,138,86,0,86,52,0,52
Total,TI,nReglementiert,25,0,25,10,0,10,15,0,15
Total,VD,abt-total,6655,830,5825,3897,485,3412,2758,345,2413
Total,VD,EFZ,6255,816,5439,3673,484,3189,2582,332,2250
Total,VD,EBA,365,0,365,223,0,223,142,0,142
Total,VD,nReglementiert,35,14,21,1,1,0,34,13,21
Total,VS,abt-total,3039,301,2738,1844,118,1726,1195,183,1012
Total,VS,EFZ,2829,257,2572,1750,111,1639,1079,146,933
Total,VS,EBA,155,11,144,86,0,86,69,11,58
Total,VS,nReglementiert,55,33,22,8,7,1,47,26,21
Total,NE,abt-total,1989,463,1526,1138,297,841,851,166,685
Total,NE,EFZ,1811,463,1348,1057,297,760,754,166,588
Total,NE,EBA,125,0,125,68,0,68,57,0,57
Total,NE,nReglementiert,53,0,53,13,0,13,40,0,40
Total,GE,abt-total,3827,1220,2607,2278,758,1520,1549,462,1087
Total,GE,EFZ,3185,1162,2023,2004,751,1253,1181,411,770
Total,GE,EBA,163,0,163,97,0,97,66,0,66
Total,GE,nReglementiert,479,58,421,177,7,170,302,51,251
Total,JU,abt-total,779,156,623,464,57,407,315,99,216
Total,JU,EFZ,733,150,583,435,55,380,298,95,203
Total,JU,EBA,46,6,40,29,2,27,17,4,13
Total,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,,abt-total,18,0,18,2,0,2,16,0,16
Musik und darstellende Kunst,,EFZ,18,0,18,2,0,2,16,0,16
Musik und darstellende Kunst,,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZH,abt-total,18,0,18,2,0,2,16,0,16
Musik und darstellende Kunst,ZH,EFZ,18,0,18,2,0,2,16,0,16
Musik und darstellende Kunst,ZH,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BE,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BE,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BE,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,LU,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,LU,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,LU,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,UR,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,UR,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,UR,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SZ,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SZ,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SZ,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,OW,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,OW,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,OW,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NW,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NW,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NW,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GL,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GL,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GL,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZG,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZG,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZG,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,FR,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,FR,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,FR,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SO,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SO,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SO,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BS,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BS,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BS,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BL,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BL,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BL,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SH,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SH,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SH,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AR,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AR,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AR,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AI,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AI,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AI,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SG,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SG,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SG,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GR,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GR,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GR,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AG,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AG,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AG,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,TG,abt-total,0,0,0,0,0,0,0,0,0
