Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Total,,abt-total,78292,7351,70941,44886,4079,40807,33406,3272,30134
Total,,EFZ,71341,7144,64197,41007,3959,37048,30334,3185,27149
Total,,EBA,6909,168,6741,3872,114,3758,3037,54,2983
Total,,nReglementiert,42,39,3,7,6,1,35,33,2
Total,ZH,abt-total,12405,210,12195,6762,166,6596,5643,44,5599
Total,ZH,EFZ,11296,203,11093,6175,159,6016,5121,44,5077
Total,ZH,EBA,1109,7,1102,587,7,580,522,0,522
Total,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Total,BE,abt-total,10199,495,9704,5704,341,5363,4495,154,4341
Total,BE,EFZ,9219,385,8834,5123,255,4868,4096,130,3966
Total,BE,EBA,980,110,870,581,86,495,399,24,375
Total,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Total,LU,abt-total,4187,15,4172,2353,7,2346,1834,8,1826
Total,LU,EFZ,3722,15,3707,2102,7,2095,1620,8,1612
Total,LU,EBA,465,0,465,251,0,251,214,0,214
Total,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Total,UR,abt-total,403,0,403,234,0,234,169,0,169
Total,UR,EFZ,381,0,381,219,0,219,162,0,162
Total,UR,EBA,22,0,22,15,0,15,7,0,7
Total,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Total,SZ,abt-total,1252,21,1231,741,15,726,511,6,505
Total,SZ,EFZ,1132,21,1111,678,15,663,454,6,448
Total,SZ,EBA,120,0,120,63,0,63,57,0,57
Total,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Total,OW,abt-total,387,0,387,245,0,245,142,0,142
Total,OW,EFZ,365,0,365,230,0,230,135,0,135
Total,OW,EBA,22,0,22,15,0,15,7,0,7
Total,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Total,NW,abt-total,395,0,395,214,0,214,181,0,181
Total,NW,EFZ,365,0,365,201,0,201,164,0,164
Total,NW,EBA,30,0,30,13,0,13,17,0,17
Total,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Total,GL,abt-total,460,0,460,262,0,262,198,0,198
Total,GL,EFZ,410,0,410,236,0,236,174,0,174
Total,GL,EBA,50,0,50,26,0,26,24,0,24
Total,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Total,ZG,abt-total,1218,33,1185,680,15,665,538,18,520
Total,ZG,EFZ,1119,33,1086,635,15,620,484,18,466
Total,ZG,EBA,99,0,99,45,0,45,54,0,54
Total,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Total,FR,abt-total,2852,155,2697,1773,111,1662,1079,44,1035
Total,FR,EFZ,2667,155,2512,1668,111,1557,999,44,955
Total,FR,EBA,185,0,185,105,0,105,80,0,80
Total,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Total,SO,abt-total,2287,43,2244,1325,25,1300,962,18,944
Total,SO,EFZ,1997,43,1954,1170,25,1145,827,18,809
Total,SO,EBA,290,0,290,155,0,155,135,0,135
Total,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Total,BS,abt-total,1986,58,1928,1015,34,981,971,24,947
Total,BS,EFZ,1720,53,1667,898,30,868,822,23,799
Total,BS,EBA,266,5,261,117,4,113,149,1,148
