Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Total,,abt-total,76542,4983,71559,43930,2898,41032,32612,2085,30527
Total,,EFZ,70018,4828,65190,40352,2797,37555,29666,2031,27635
Total,,EBA,6490,127,6363,3569,94,3475,2921,33,2888
Total,,nReglementiert,34,28,6,9,7,2,25,21,4
Total,ZH,abt-total,12166,123,12043,6592,77,6515,5574,46,5528
Total,ZH,EFZ,11056,118,10938,5996,73,5923,5060,45,5015
Total,ZH,EBA,1110,5,1105,596,4,592,514,1,513
Total,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Total,BE,abt-total,10264,497,9767,5761,343,5418,4503,154,4349
Total,BE,EFZ,9386,401,8985,5266,261,5005,4120,140,3980
Total,BE,EBA,878,96,782,495,82,413,383,14,369
Total,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Total,LU,abt-total,4107,26,4081,2279,13,2266,1828,13,1815
Total,LU,EFZ,3670,26,3644,2044,13,2031,1626,13,1613
Total,LU,EBA,437,0,437,235,0,235,202,0,202
Total,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Total,UR,abt-total,386,0,386,213,0,213,173,0,173
Total,UR,EFZ,374,0,374,209,0,209,165,0,165
Total,UR,EBA,12,0,12,4,0,4,8,0,8
Total,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Total,SZ,abt-total,1222,0,1222,715,0,715,507,0,507
Total,SZ,EFZ,1114,0,1114,649,0,649,465,0,465
Total,SZ,EBA,108,0,108,66,0,66,42,0,42
Total,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Total,OW,abt-total,387,0,387,244,0,244,143,0,143
Total,OW,EFZ,361,0,361,227,0,227,134,0,134
Total,OW,EBA,26,0,26,17,0,17,9,0,9
Total,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Total,NW,abt-total,388,0,388,217,0,217,171,0,171
Total,NW,EFZ,375,0,375,208,0,208,167,0,167
Total,NW,EBA,13,0,13,9,0,9,4,0,4
Total,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Total,GL,abt-total,462,0,462,284,0,284,178,0,178
Total,GL,EFZ,427,0,427,259,0,259,168,0,168
Total,GL,EBA,35,0,35,25,0,25,10,0,10
Total,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Total,ZG,abt-total,1247,0,1247,697,0,697,550,0,550
Total,ZG,EFZ,1141,0,1141,653,0,653,488,0,488
Total,ZG,EBA,106,0,106,44,0,44,62,0,62
Total,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Total,FR,abt-total,2748,171,2577,1689,107,1582,1059,64,995
Total,FR,EFZ,2564,171,2393,1581,107,1474,983,64,919
Total,FR,EBA,184,0,184,108,0,108,76,0,76
Total,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Total,SO,abt-total,2296,41,2255,1334,23,1311,962,18,944
Total,SO,EFZ,2016,41,1975,1192,23,1169,824,18,806
Total,SO,EBA,280,0,280,142,0,142,138,0,138
Total,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Total,BS,abt-total,1934,50,1884,994,34,960,940,16,924
Total,BS,EFZ,1660,44,1616,886,30,856,774,14,760
Total,BS,EBA,274,6,268,108,4,104,166,2,164
Total,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Total,BL,abt-total,2005,0,2005,1234,0,1234,771,0,771
Total,BL,EFZ,1756,0,1756,1103,0,1103,653,0,653
Total,BL,EBA,249,0,249,131,0,131,118,0,118
Total,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Total,SH,abt-total,876,0,876,486,0,486,390,0,390
Total,SH,EFZ,794,0,794,450,0,450,344,0,344
Total,SH,EBA,82,0,82,36,0,36,46,0,46
Total,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Total,AR,abt-total,490,0,490,244,0,244,246,0,246
Total,AR,EFZ,438,0,438,222,0,222,216,0,216
Total,AR,EBA,52,0,52,22,0,22,30,0,30
Total,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Total,AI,abt-total,173,0,173,109,0,109,64,0,64
Total,AI,EFZ,166,0,166,104,0,104,62,0,62
Total,AI,EBA,7,0,7,5,0,5,2,0,2
Total,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Total,SG,abt-total,5618,18,5600,3085,4,3081,2533,14,2519
Total,SG,EFZ,5089,18,5071,2797,4,2793,2292,14,2278
Total,SG,EBA,529,0,529,288,0,288,241,0,241
Total,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Total,GR,abt-total,2054,15,2039,1178,10,1168,876,5,871
Total,GR,EFZ,1897,13,1884,1078,9,1069,819,4,815
Total,GR,EBA,157,2,155,100,1,99,57,1,56
Total,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Total,AG,abt-total,5526,0,5526,3182,0,3182,2344,0,2344
Total,AG,EFZ,5090,0,5090,2971,0,2971,2119,0,2119
Total,AG,EBA,436,0,436,211,0,211,225,0,225
Total,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Total,TG,abt-total,2409,0,2409,1440,0,1440,969,0,969
Total,TG,EFZ,2196,0,2196,1305,0,1305,891,0,891
Total,TG,EBA,213,0,213,135,0,135,78,0,78
Total,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Total,TI,abt-total,3077,747,2330,1924,365,1559,1153,382,771
Total,TI,EFZ,2862,747,2115,1797,365,1432,1065,382,683
Total,TI,EBA,215,0,215,127,0,127,88,0,88
Total,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Total,VD,abt-total,6828,672,6156,4000,413,3587,2828,259,2569
Total,VD,EFZ,6362,671,5691,3689,412,3277,2673,259,2414
Total,VD,EBA,466,1,465,311,1,310,155,0,155
Total,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Total,VS,abt-total,3047,316,2731,1864,117,1747,1183,199,984
Total,VS,EFZ,2814,277,2537,1737,109,1628,1077,168,909
Total,VS,EBA,200,11,189,118,1,117,82,10,72
Total,VS,nReglementiert,33,28,5,9,7,2,24,21,3
Total,NE,abt-total,2194,662,1532,1256,378,878,938,284,654
Total,NE,EFZ,2062,662,1400,1192,378,814,870,284,586
Total,NE,EBA,131,0,131,64,0,64,67,0,67
Total,NE,nReglementiert,1,0,1,0,0,0,1,0,1
Total,GE,abt-total,3728,1464,2264,2363,941,1422,1365,523,842
Total,GE,EFZ,3503,1464,2039,2224,941,1283,1279,523,756
Total,GE,EBA,225,0,225,139,0,139,86,0,86
Total,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Total,JU,abt-total,910,181,729,546,73,473,364,108,256
Total,JU,EFZ,845,175,670,513,72,441,332,103,229
Total,JU,EBA,65,6,59,33,1,32,32,5,27
Total,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,,abt-total,30,17,13,3,3,0,27,14,13
Musik und darstellende Kunst,,EFZ,30,17,13,3,3,0,27,14,13
Musik und darstellende Kunst,,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZH,abt-total,13,0,13,0,0,0,13,0,13
Musik und darstellende Kunst,ZH,EFZ,13,0,13,0,0,0,13,0,13
Musik und darstellende Kunst,ZH,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BE,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BE,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BE,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,LU,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,LU,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,LU,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,UR,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,UR,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,UR,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SZ,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SZ,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SZ,EBA,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,OW,abt-total,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,OW,EFZ,0,0,0,0,0,0,0,0,0
Musik und darstellende Kunst,OW,EBA,0,0,0,0,0,0,0,0,0
