"Eintritte nach Ausbildungsfeld, Kanton, Ausbildungstyp, Geschlecht und Ausbildungsform"

"Ausbildungsfeld";"Kanton";"Ausbildungstyp";"Geschlecht - Total Ausbildungsform - Total 2011";"Geschlecht - Total Vollschulisch 2011";"Geschlecht - Total Dual 2011";"Mann Ausbildungsform - Total 2011";"Mann Vollschulisch 2011";"Mann Dual 2011";"Frau Ausbildungsform - Total 2011";"Frau Vollschulisch 2011";"Frau Dual 2011"
"Ausbildungsfeld - Total";"Schaffhausen";"EFZ";817;0;817;448;0;448;369;0;369
"Ausbildungsfeld - Total";"Schaffhausen";"EBA";72;0;72;39;0;39;33;0;33
"Ausbildungsfeld - Total";"Schaffhausen";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Appenzell Ausserrhoden";"Ausbildungstyp - Total";472;0;472;251;0;251;221;0;221
"Ausbildungsfeld - Total";"Appenzell Ausserrhoden";"EFZ";434;0;434;230;0;230;204;0;204
"Ausbildungsfeld - Total";"Appenzell Ausserrhoden";"EBA";38;0;38;21;0;21;17;0;17
"Ausbildungsfeld - Total";"Appenzell Ausserrhoden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Appenzell Innerrhoden";"Ausbildungstyp - Total";174;0;174;102;0;102;72;0;72
"Ausbildungsfeld - Total";"Appenzell Innerrhoden";"EFZ";168;0;168;98;0;98;70;0;70
"Ausbildungsfeld - Total";"Appenzell Innerrhoden";"EBA";6;0;6;4;0;4;2;0;2
"Ausbildungsfeld - Total";"Appenzell Innerrhoden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"St. Gallen";"Ausbildungstyp - Total";5527;17;5510;3109;2;3107;2418;15;2403
"Ausbildungsfeld - Total";"St. Gallen";"EFZ";5103;17;5086;2837;2;2835;2266;15;2251
"Ausbildungsfeld - Total";"St. Gallen";"EBA";424;0;424;272;0;272;152;0;152
"Ausbildungsfeld - Total";"St. Gallen";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Graubünden / Grigioni / Grischun";"Ausbildungstyp - Total";1979;10;1969;1129;10;1119;850;0;850
"Ausbildungsfeld - Total";"Graubünden / Grigioni / Grischun";"EFZ";1839;9;1830;1043;9;1034;796;0;796
"Ausbildungsfeld - Total";"Graubünden / Grigioni / Grischun";"EBA";140;1;139;86;1;85;54;0;54
"Ausbildungsfeld - Total";"Graubünden / Grigioni / Grischun";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Aargau";"Ausbildungstyp - Total";5450;0;5450;3196;0;3196;2254;0;2254
"Ausbildungsfeld - Total";"Aargau";"EFZ";5088;0;5088;2992;0;2992;2096;0;2096
"Ausbildungsfeld - Total";"Aargau";"EBA";362;0;362;204;0;204;158;0;158
"Ausbildungsfeld - Total";"Aargau";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Thurgau";"Ausbildungstyp - Total";2424;1;2423;1434;0;1434;990;1;989
"Ausbildungsfeld - Total";"Thurgau";"EFZ";2213;1;2212;1308;0;1308;905;1;904
"Ausbildungsfeld - Total";"Thurgau";"EBA";211;0;211;126;0;126;85;0;85
"Ausbildungsfeld - Total";"Thurgau";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Ticino";"Ausbildungstyp - Total";2904;709;2195;1852;375;1477;1052;334;718
"Ausbildungsfeld - Total";"Ticino";"EFZ";2757;709;2048;1744;375;1369;1013;334;679
"Ausbildungsfeld - Total";"Ticino";"EBA";147;0;147;108;0;108;39;0;39
"Ausbildungsfeld - Total";"Ticino";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Vaud";"Ausbildungstyp - Total";6730;953;5777;4031;566;3465;2699;387;2312
