"Eintritte nach Ausbildungsfeld, Kanton, Ausbildungstyp, Geschlecht und Ausbildungsform"

"Ausbildungsfeld";"Kanton";"Ausbildungstyp";"Geschlecht - Total Ausbildungsform - Total 2010";"Geschlecht - Total Vollschulisch 2010";"Geschlecht - Total Dual 2010";"Mann Ausbildungsform - Total 2010";"Mann Vollschulisch 2010";"Mann Dual 2010";"Frau Ausbildungsform - Total 2010";"Frau Vollschulisch 2010";"Frau Dual 2010"
"Bibliothek, Informationswesen, Archiv";"Appenzell Innerrhoden";"EFZ";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Appenzell Innerrhoden";"EBA";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Appenzell Innerrhoden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"St. Gallen";"Ausbildungstyp - Total";3;0;3;0;0;0;3;0;3
"Bibliothek, Informationswesen, Archiv";"St. Gallen";"EFZ";3;0;3;0;0;0;3;0;3
"Bibliothek, Informationswesen, Archiv";"St. Gallen";"EBA";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"St. Gallen";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Graubünden / Grigioni / Grischun";"Ausbildungstyp - Total";1;0;1;1;0;1;0;0;0
"Bibliothek, Informationswesen, Archiv";"Graubünden / Grigioni / Grischun";"EFZ";1;0;1;1;0;1;0;0;0
"Bibliothek, Informationswesen, Archiv";"Graubünden / Grigioni / Grischun";"EBA";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Graubünden / Grigioni / Grischun";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Aargau";"Ausbildungstyp - Total";2;0;2;1;0;1;1;0;1
"Bibliothek, Informationswesen, Archiv";"Aargau";"EFZ";2;0;2;1;0;1;1;0;1
"Bibliothek, Informationswesen, Archiv";"Aargau";"EBA";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Aargau";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Thurgau";"Ausbildungstyp - Total";1;0;1;0;0;0;1;0;1
"Bibliothek, Informationswesen, Archiv";"Thurgau";"EFZ";1;0;1;0;0;0;1;0;1
"Bibliothek, Informationswesen, Archiv";"Thurgau";"EBA";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Thurgau";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Ticino";"Ausbildungstyp - Total";1;0;1;0;0;0;1;0;1
"Bibliothek, Informationswesen, Archiv";"Ticino";"EFZ";1;0;1;0;0;0;1;0;1
"Bibliothek, Informationswesen, Archiv";"Ticino";"EBA";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Ticino";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Vaud";"Ausbildungstyp - Total";30;0;30;7;0;7;23;0;23
"Bibliothek, Informationswesen, Archiv";"Vaud";"EFZ";30;0;30;7;0;7;23;0;23
"Bibliothek, Informationswesen, Archiv";"Vaud";"EBA";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Vaud";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Valais / Wallis";"Ausbildungstyp - Total";6;0;6;1;0;1;5;0;5
"Bibliothek, Informationswesen, Archiv";"Valais / Wallis";"EFZ";6;0;6;1;0;1;5;0;5
"Bibliothek, Informationswesen, Archiv";"Valais / Wallis";"EBA";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Valais / Wallis";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Neuchâtel";"Ausbildungstyp - Total";6;0;6;3;0;3;3;0;3
"Bibliothek, Informationswesen, Archiv";"Neuchâtel";"EFZ";6;0;6;3;0;3;3;0;3
"Bibliothek, Informationswesen, Archiv";"Neuchâtel";"EBA";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Neuchâtel";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Genève";"Ausbildungstyp - Total";7;0;7;3;0;3;4;0;4
"Bibliothek, Informationswesen, Archiv";"Genève";"EFZ";7;0;7;3;0;3;4;0;4
"Bibliothek, Informationswesen, Archiv";"Genève";"EBA";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Genève";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Jura";"Ausbildungstyp - Total";3;0;3;1;0;1;2;0;2
"Bibliothek, Informationswesen, Archiv";"Jura";"EFZ";3;0;3;1;0;1;2;0;2
"Bibliothek, Informationswesen, Archiv";"Jura";"EBA";0;0;0;0;0;0;0;0;0
"Bibliothek, Informationswesen, Archiv";"Jura";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Schweiz";"Ausbildungstyp - Total";10114;0;10114;3958;0;3958;6156;0;6156
"Handel";"Schweiz";"EFZ";8389;0;8389;3312;0;3312;5077;0;5077
"Handel";"Schweiz";"EBA";1725;0;1725;646;0;646;1079;0;1079
"Handel";"Schweiz";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Zürich";"Ausbildungstyp - Total";1733;0;1733;730;0;730;1003;0;1003
"Handel";"Zürich";"EFZ";1466;0;1466;619;0;619;847;0;847
"Handel";"Zürich";"EBA";267;0;267;111;0;111;156;0;156
"Handel";"Zürich";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Bern / Berne";"Ausbildungstyp - Total";1285;0;1285;459;0;459;826;0;826
"Handel";"Bern / Berne";"EFZ";1059;0;1059;374;0;374;685;0;685
"Handel";"Bern / Berne";"EBA";226;0;226;85;0;85;141;0;141
"Handel";"Bern / Berne";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Luzern";"Ausbildungstyp - Total";597;0;597;199;0;199;398;0;398
"Handel";"Luzern";"EFZ";476;0;476;167;0;167;309;0;309
"Handel";"Luzern";"EBA";121;0;121;32;0;32;89;0;89
"Handel";"Luzern";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Uri";"Ausbildungstyp - Total";34;0;34;5;0;5;29;0;29
"Handel";"Uri";"EFZ";31;0;31;5;0;5;26;0;26
"Handel";"Uri";"EBA";3;0;3;0;0;0;3;0;3
"Handel";"Uri";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Schwyz";"Ausbildungstyp - Total";157;0;157;50;0;50;107;0;107
"Handel";"Schwyz";"EFZ";126;0;126;41;0;41;85;0;85
"Handel";"Schwyz";"EBA";31;0;31;9;0;9;22;0;22
"Handel";"Schwyz";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Obwalden";"Ausbildungstyp - Total";35;0;35;9;0;9;26;0;26
"Handel";"Obwalden";"EFZ";27;0;27;6;0;6;21;0;21
"Handel";"Obwalden";"EBA";8;0;8;3;0;3;5;0;5
"Handel";"Obwalden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Nidwalden";"Ausbildungstyp - Total";44;0;44;10;0;10;34;0;34
"Handel";"Nidwalden";"EFZ";41;0;41;9;0;9;32;0;32
"Handel";"Nidwalden";"EBA";3;0;3;1;0;1;2;0;2
"Handel";"Nidwalden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Glarus";"Ausbildungstyp - Total";58;0;58;13;0;13;45;0;45
"Handel";"Glarus";"EFZ";51;0;51;11;0;11;40;0;40
"Handel";"Glarus";"EBA";7;0;7;2;0;2;5;0;5
"Handel";"Glarus";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Zug";"Ausbildungstyp - Total";170;0;170;58;0;58;112;0;112
"Handel";"Zug";"EFZ";136;0;136;43;0;43;93;0;93
"Handel";"Zug";"EBA";34;0;34;15;0;15;19;0;19
"Handel";"Zug";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Fribourg / Freiburg";"Ausbildungstyp - Total";318;0;318;111;0;111;207;0;207
"Handel";"Fribourg / Freiburg";"EFZ";290;0;290;105;0;105;185;0;185
"Handel";"Fribourg / Freiburg";"EBA";28;0;28;6;0;6;22;0;22
"Handel";"Fribourg / Freiburg";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Solothurn";"Ausbildungstyp - Total";348;0;348;151;0;151;197;0;197
"Handel";"Solothurn";"EFZ";249;0;249;106;0;106;143;0;143
"Handel";"Solothurn";"EBA";99;0;99;45;0;45;54;0;54
"Handel";"Solothurn";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Basel-Stadt";"Ausbildungstyp - Total";307;0;307;125;0;125;182;0;182
"Handel";"Basel-Stadt";"EFZ";240;0;240;101;0;101;139;0;139
"Handel";"Basel-Stadt";"EBA";67;0;67;24;0;24;43;0;43
"Handel";"Basel-Stadt";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Basel-Landschaft";"Ausbildungstyp - Total";279;0;279;142;0;142;137;0;137
"Handel";"Basel-Landschaft";"EFZ";209;0;209;109;0;109;100;0;100
"Handel";"Basel-Landschaft";"EBA";70;0;70;33;0;33;37;0;37
"Handel";"Basel-Landschaft";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Schaffhausen";"Ausbildungstyp - Total";109;0;109;48;0;48;61;0;61
"Handel";"Schaffhausen";"EFZ";98;0;98;43;0;43;55;0;55
"Handel";"Schaffhausen";"EBA";11;0;11;5;0;5;6;0;6
"Handel";"Schaffhausen";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Appenzell Ausserrhoden";"Ausbildungstyp - Total";32;0;32;13;0;13;19;0;19
"Handel";"Appenzell Ausserrhoden";"EFZ";22;0;22;9;0;9;13;0;13
"Handel";"Appenzell Ausserrhoden";"EBA";10;0;10;4;0;4;6;0;6
"Handel";"Appenzell Ausserrhoden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Appenzell Innerrhoden";"Ausbildungstyp - Total";25;0;25;1;0;1;24;0;24
"Handel";"Appenzell Innerrhoden";"EFZ";21;0;21;1;0;1;20;0;20
"Handel";"Appenzell Innerrhoden";"EBA";4;0;4;0;0;0;4;0;4
"Handel";"Appenzell Innerrhoden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"St. Gallen";"Ausbildungstyp - Total";816;0;816;274;0;274;542;0;542
"Handel";"St. Gallen";"EFZ";666;0;666;236;0;236;430;0;430
"Handel";"St. Gallen";"EBA";150;0;150;38;0;38;112;0;112
"Handel";"St. Gallen";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Graubünden / Grigioni / Grischun";"Ausbildungstyp - Total";241;0;241;83;0;83;158;0;158
"Handel";"Graubünden / Grigioni / Grischun";"EFZ";201;0;201;73;0;73;128;0;128
"Handel";"Graubünden / Grigioni / Grischun";"EBA";40;0;40;10;0;10;30;0;30
"Handel";"Graubünden / Grigioni / Grischun";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Aargau";"Ausbildungstyp - Total";844;0;844;327;0;327;517;0;517
"Handel";"Aargau";"EFZ";688;0;688;275;0;275;413;0;413
"Handel";"Aargau";"EBA";156;0;156;52;0;52;104;0;104
"Handel";"Aargau";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Thurgau";"Ausbildungstyp - Total";337;0;337;127;0;127;210;0;210
"Handel";"Thurgau";"EFZ";264;0;264;97;0;97;167;0;167
"Handel";"Thurgau";"EBA";73;0;73;30;0;30;43;0;43
"Handel";"Thurgau";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Ticino";"Ausbildungstyp - Total";302;0;302;147;0;147;155;0;155
"Handel";"Ticino";"EFZ";258;0;258;127;0;127;131;0;131
"Handel";"Ticino";"EBA";44;0;44;20;0;20;24;0;24
"Handel";"Ticino";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Vaud";"Ausbildungstyp - Total";887;0;887;377;0;377;510;0;510
"Handel";"Vaud";"EFZ";759;0;759;319;0;319;440;0;440
"Handel";"Vaud";"EBA";128;0;128;58;0;58;70;0;70
"Handel";"Vaud";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Valais / Wallis";"Ausbildungstyp - Total";425;0;425;158;0;158;267;0;267
"Handel";"Valais / Wallis";"EFZ";372;0;372;144;0;144;228;0;228
"Handel";"Valais / Wallis";"EBA";53;0;53;14;0;14;39;0;39
"Handel";"Valais / Wallis";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Neuchâtel";"Ausbildungstyp - Total";185;0;185;71;0;71;114;0;114
"Handel";"Neuchâtel";"EFZ";172;0;172;65;0;65;107;0;107
"Handel";"Neuchâtel";"EBA";13;0;13;6;0;6;7;0;7
"Handel";"Neuchâtel";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Genève";"Ausbildungstyp - Total";445;0;445;230;0;230;215;0;215
"Handel";"Genève";"EFZ";374;0;374;192;0;192;182;0;182
"Handel";"Genève";"EBA";71;0;71;38;0;38;33;0;33
"Handel";"Genève";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Handel";"Jura";"Ausbildungstyp - Total";101;0;101;40;0;40;61;0;61
"Handel";"Jura";"EFZ";93;0;93;35;0;35;58;0;58
"Handel";"Jura";"EBA";8;0;8;5;0;5;3;0;3
"Handel";"Jura";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Schweiz";"Ausbildungstyp - Total";674;0;674;230;0;230;444;0;444
"Sekretariats- und Büroarbeit";"Schweiz";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Schweiz";"EBA";458;0;458;156;0;156;302;0;302
"Sekretariats- und Büroarbeit";"Schweiz";"Nicht reglementiert";216;0;216;74;0;74;142;0;142
"Sekretariats- und Büroarbeit";"Zürich";"Ausbildungstyp - Total";62;0;62;23;0;23;39;0;39
"Sekretariats- und Büroarbeit";"Zürich";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Zürich";"EBA";62;0;62;23;0;23;39;0;39
"Sekretariats- und Büroarbeit";"Zürich";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Bern / Berne";"Ausbildungstyp - Total";85;0;85;23;0;23;62;0;62
"Sekretariats- und Büroarbeit";"Bern / Berne";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Bern / Berne";"EBA";57;0;57;23;0;23;34;0;34
"Sekretariats- und Büroarbeit";"Bern / Berne";"Nicht reglementiert";28;0;28;0;0;0;28;0;28
"Sekretariats- und Büroarbeit";"Luzern";"Ausbildungstyp - Total";13;0;13;2;0;2;11;0;11
"Sekretariats- und Büroarbeit";"Luzern";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Luzern";"EBA";13;0;13;2;0;2;11;0;11
"Sekretariats- und Büroarbeit";"Luzern";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Uri";"Ausbildungstyp - Total";2;0;2;0;0;0;2;0;2
"Sekretariats- und Büroarbeit";"Uri";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Uri";"EBA";2;0;2;0;0;0;2;0;2
"Sekretariats- und Büroarbeit";"Uri";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Schwyz";"Ausbildungstyp - Total";1;0;1;0;0;0;1;0;1
"Sekretariats- und Büroarbeit";"Schwyz";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Schwyz";"EBA";1;0;1;0;0;0;1;0;1
"Sekretariats- und Büroarbeit";"Schwyz";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Obwalden";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Obwalden";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Obwalden";"EBA";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Obwalden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Nidwalden";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Nidwalden";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Nidwalden";"EBA";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Nidwalden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Glarus";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Glarus";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Glarus";"EBA";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Glarus";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Zug";"Ausbildungstyp - Total";15;0;15;1;0;1;14;0;14
"Sekretariats- und Büroarbeit";"Zug";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Zug";"EBA";15;0;15;1;0;1;14;0;14
"Sekretariats- und Büroarbeit";"Zug";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Fribourg / Freiburg";"Ausbildungstyp - Total";20;0;20;2;0;2;18;0;18
"Sekretariats- und Büroarbeit";"Fribourg / Freiburg";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Fribourg / Freiburg";"EBA";7;0;7;1;0;1;6;0;6
"Sekretariats- und Büroarbeit";"Fribourg / Freiburg";"Nicht reglementiert";13;0;13;1;0;1;12;0;12
"Sekretariats- und Büroarbeit";"Solothurn";"Ausbildungstyp - Total";8;0;8;0;0;0;8;0;8
"Sekretariats- und Büroarbeit";"Solothurn";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Solothurn";"EBA";8;0;8;0;0;0;8;0;8
"Sekretariats- und Büroarbeit";"Solothurn";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Basel-Stadt";"Ausbildungstyp - Total";100;0;100;35;0;35;65;0;65
"Sekretariats- und Büroarbeit";"Basel-Stadt";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Basel-Stadt";"EBA";100;0;100;35;0;35;65;0;65
"Sekretariats- und Büroarbeit";"Basel-Stadt";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Basel-Landschaft";"Ausbildungstyp - Total";39;0;39;11;0;11;28;0;28
"Sekretariats- und Büroarbeit";"Basel-Landschaft";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Basel-Landschaft";"EBA";39;0;39;11;0;11;28;0;28
"Sekretariats- und Büroarbeit";"Basel-Landschaft";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Schaffhausen";"Ausbildungstyp - Total";5;0;5;0;0;0;5;0;5
"Sekretariats- und Büroarbeit";"Schaffhausen";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Schaffhausen";"EBA";5;0;5;0;0;0;5;0;5
"Sekretariats- und Büroarbeit";"Schaffhausen";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Appenzell Ausserrhoden";"Ausbildungstyp - Total";1;0;1;0;0;0;1;0;1
"Sekretariats- und Büroarbeit";"Appenzell Ausserrhoden";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Appenzell Ausserrhoden";"EBA";1;0;1;0;0;0;1;0;1
"Sekretariats- und Büroarbeit";"Appenzell Ausserrhoden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Appenzell Innerrhoden";"Ausbildungstyp - Total";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Appenzell Innerrhoden";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Appenzell Innerrhoden";"EBA";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Appenzell Innerrhoden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"St. Gallen";"Ausbildungstyp - Total";13;0;13;4;0;4;9;0;9
"Sekretariats- und Büroarbeit";"St. Gallen";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"St. Gallen";"EBA";13;0;13;4;0;4;9;0;9
"Sekretariats- und Büroarbeit";"St. Gallen";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Graubünden / Grigioni / Grischun";"Ausbildungstyp - Total";12;0;12;7;0;7;5;0;5
"Sekretariats- und Büroarbeit";"Graubünden / Grigioni / Grischun";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Graubünden / Grigioni / Grischun";"EBA";12;0;12;7;0;7;5;0;5
"Sekretariats- und Büroarbeit";"Graubünden / Grigioni / Grischun";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Aargau";"Ausbildungstyp - Total";18;0;18;4;0;4;14;0;14
"Sekretariats- und Büroarbeit";"Aargau";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Aargau";"EBA";18;0;18;4;0;4;14;0;14
"Sekretariats- und Büroarbeit";"Aargau";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Thurgau";"Ausbildungstyp - Total";12;0;12;7;0;7;5;0;5
"Sekretariats- und Büroarbeit";"Thurgau";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Thurgau";"EBA";12;0;12;7;0;7;5;0;5
"Sekretariats- und Büroarbeit";"Thurgau";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Ticino";"Ausbildungstyp - Total";20;0;20;7;0;7;13;0;13
"Sekretariats- und Büroarbeit";"Ticino";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Ticino";"EBA";9;0;9;4;0;4;5;0;5
"Sekretariats- und Büroarbeit";"Ticino";"Nicht reglementiert";11;0;11;3;0;3;8;0;8
"Sekretariats- und Büroarbeit";"Vaud";"Ausbildungstyp - Total";58;0;58;23;0;23;35;0;35
"Sekretariats- und Büroarbeit";"Vaud";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Vaud";"EBA";55;0;55;23;0;23;32;0;32
"Sekretariats- und Büroarbeit";"Vaud";"Nicht reglementiert";3;0;3;0;0;0;3;0;3
"Sekretariats- und Büroarbeit";"Valais / Wallis";"Ausbildungstyp - Total";4;0;4;2;0;2;2;0;2
"Sekretariats- und Büroarbeit";"Valais / Wallis";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Valais / Wallis";"EBA";4;0;4;2;0;2;2;0;2
"Sekretariats- und Büroarbeit";"Valais / Wallis";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Neuchâtel";"Ausbildungstyp - Total";28;0;28;14;0;14;14;0;14
"Sekretariats- und Büroarbeit";"Neuchâtel";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Neuchâtel";"EBA";2;0;2;2;0;2;0;0;0
"Sekretariats- und Büroarbeit";"Neuchâtel";"Nicht reglementiert";26;0;26;12;0;12;14;0;14
"Sekretariats- und Büroarbeit";"Genève";"Ausbildungstyp - Total";156;0;156;65;0;65;91;0;91
"Sekretariats- und Büroarbeit";"Genève";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Genève";"EBA";21;0;21;7;0;7;14;0;14
"Sekretariats- und Büroarbeit";"Genève";"Nicht reglementiert";135;0;135;58;0;58;77;0;77
"Sekretariats- und Büroarbeit";"Jura";"Ausbildungstyp - Total";2;0;2;0;0;0;2;0;2
"Sekretariats- und Büroarbeit";"Jura";"EFZ";0;0;0;0;0;0;0;0;0
"Sekretariats- und Büroarbeit";"Jura";"EBA";2;0;2;0;0;0;2;0;2
"Sekretariats- und Büroarbeit";"Jura";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Wirtschaft und Verwaltung";"Schweiz";"Ausbildungstyp - Total";12233;1008;11225;4461;594;3867;7772;414;7358
"Wirtschaft und Verwaltung";"Schweiz";"EFZ";11973;1008;10965;4420;594;3826;7553;414;7139
"Wirtschaft und Verwaltung";"Schweiz";"EBA";0;0;0;0;0;0;0;0;0
"Wirtschaft und Verwaltung";"Schweiz";"Nicht reglementiert";260;0;260;41;0;41;219;0;219
"Wirtschaft und Verwaltung";"Zürich";"Ausbildungstyp - Total";2259;0;2259;807;0;807;1452;0;1452
"Wirtschaft und Verwaltung";"Zürich";"EFZ";2157;0;2157;782;0;782;1375;0;1375
"Wirtschaft und Verwaltung";"Zürich";"EBA";0;0;0;0;0;0;0;0;0
"Wirtschaft und Verwaltung";"Zürich";"Nicht reglementiert";102;0;102;25;0;25;77;0;77
"Wirtschaft und Verwaltung";"Bern / Berne";"Ausbildungstyp - Total";1481;19;1462;522;9;513;959;10;949
"Wirtschaft und Verwaltung";"Bern / Berne";"EFZ";1481;19;1462;522;9;513;959;10;949
"Wirtschaft und Verwaltung";"Bern / Berne";"EBA";0;0;0;0;0;0;0;0;0
"Wirtschaft und Verwaltung";"Bern / Berne";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Wirtschaft und Verwaltung";"Luzern";"Ausbildungstyp - Total";487;0;487;153;0;153;334;0;334
"Wirtschaft und Verwaltung";"Luzern";"EFZ";487;0;487;153;0;153;334;0;334
"Wirtschaft und Verwaltung";"Luzern";"EBA";0;0;0;0;0;0;0;0;0
"Wirtschaft und Verwaltung";"Luzern";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Wirtschaft und Verwaltung";"Uri";"Ausbildungstyp - Total";54;0;54;10;0;10;44;0;44
"Wirtschaft und Verwaltung";"Uri";"EFZ";54;0;54;10;0;10;44;0;44
"Wirtschaft und Verwaltung";"Uri";"EBA";0;0;0;0;0;0;0;0;0
"Wirtschaft und Verwaltung";"Uri";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Wirtschaft und Verwaltung";"Schwyz";"Ausbildungstyp - Total";147;0;147;40;0;40;107;0;107
"Wirtschaft und Verwaltung";"Schwyz";"EFZ";147;0;147;40;0;40;107;0;107
"Wirtschaft und Verwaltung";"Schwyz";"EBA";0;0;0;0;0;0;0;0;0
"Wirtschaft und Verwaltung";"Schwyz";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Wirtschaft und Verwaltung";"Obwalden";"Ausbildungstyp - Total";43;0;43;13;0;13;30;0;30
"Wirtschaft und Verwaltung";"Obwalden";"EFZ";43;0;43;13;0;13;30;0;30
