"Eintritte nach Ausbildungsfeld, Kanton, Ausbildungstyp, Geschlecht und Ausbildungsform"

"Ausbildungsfeld";"Kanton";"Ausbildungstyp";"Geschlecht - Total Ausbildungsform - Total 2010";"Geschlecht - Total Vollschulisch 2010";"Geschlecht - Total Dual 2010";"Mann Ausbildungsform - Total 2010";"Mann Vollschulisch 2010";"Mann Dual 2010";"Frau Ausbildungsform - Total 2010";"Frau Vollschulisch 2010";"Frau Dual 2010"
"Ausbildungsfeld - Total";"Schweiz";"Ausbildungstyp - Total";75672;4655;71017;43081;2690;40391;32591;1965;30626
"Ausbildungsfeld - Total";"Schweiz";"EFZ";69223;4329;64894;39845;2533;37312;29378;1796;27582
"Ausbildungsfeld - Total";"Schweiz";"EBA";4806;112;4694;2716;72;2644;2090;40;2050
"Ausbildungsfeld - Total";"Schweiz";"Nicht reglementiert";1643;214;1429;520;85;435;1123;129;994
"Ausbildungsfeld - Total";"Zürich";"Ausbildungstyp - Total";12089;190;11899;6495;121;6374;5594;69;5525
"Ausbildungsfeld - Total";"Zürich";"EFZ";10992;128;10864;5951;76;5875;5041;52;4989
"Ausbildungsfeld - Total";"Zürich";"EBA";742;8;734;446;8;438;296;0;296
"Ausbildungsfeld - Total";"Zürich";"Nicht reglementiert";355;54;301;98;37;61;257;17;240
"Ausbildungsfeld - Total";"Bern / Berne";"Ausbildungstyp - Total";10194;465;9729;5598;314;5284;4596;151;4445
"Ausbildungsfeld - Total";"Bern / Berne";"EFZ";9401;396;9005;5222;253;4969;4179;143;4036
"Ausbildungsfeld - Total";"Bern / Berne";"EBA";662;69;593;365;61;304;297;8;289
"Ausbildungsfeld - Total";"Bern / Berne";"Nicht reglementiert";131;0;131;11;0;11;120;0;120
"Ausbildungsfeld - Total";"Luzern";"Ausbildungstyp - Total";3998;41;3957;2255;24;2231;1743;17;1726
"Ausbildungsfeld - Total";"Luzern";"EFZ";3584;16;3568;2069;6;2063;1515;10;1505
"Ausbildungsfeld - Total";"Luzern";"EBA";296;0;296;156;0;156;140;0;140
"Ausbildungsfeld - Total";"Luzern";"Nicht reglementiert";118;25;93;30;18;12;88;7;81
"Ausbildungsfeld - Total";"Uri";"Ausbildungstyp - Total";420;0;420;236;0;236;184;0;184
"Ausbildungsfeld - Total";"Uri";"EFZ";411;0;411;233;0;233;178;0;178
"Ausbildungsfeld - Total";"Uri";"EBA";9;0;9;3;0;3;6;0;6
"Ausbildungsfeld - Total";"Uri";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Schwyz";"Ausbildungstyp - Total";1149;0;1149;675;0;675;474;0;474
"Ausbildungsfeld - Total";"Schwyz";"EFZ";1075;0;1075;629;0;629;446;0;446
"Ausbildungsfeld - Total";"Schwyz";"EBA";74;0;74;46;0;46;28;0;28
"Ausbildungsfeld - Total";"Schwyz";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Obwalden";"Ausbildungstyp - Total";360;0;360;232;0;232;128;0;128
"Ausbildungsfeld - Total";"Obwalden";"EFZ";339;0;339;219;0;219;120;0;120
"Ausbildungsfeld - Total";"Obwalden";"EBA";21;0;21;13;0;13;8;0;8
"Ausbildungsfeld - Total";"Obwalden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Nidwalden";"Ausbildungstyp - Total";384;0;384;215;0;215;169;0;169
"Ausbildungsfeld - Total";"Nidwalden";"EFZ";372;0;372;206;0;206;166;0;166
"Ausbildungsfeld - Total";"Nidwalden";"EBA";12;0;12;9;0;9;3;0;3
"Ausbildungsfeld - Total";"Nidwalden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Glarus";"Ausbildungstyp - Total";485;0;485;271;0;271;214;0;214
"Ausbildungsfeld - Total";"Glarus";"EFZ";466;0;466;261;0;261;205;0;205
"Ausbildungsfeld - Total";"Glarus";"EBA";19;0;19;10;0;10;9;0;9
"Ausbildungsfeld - Total";"Glarus";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Zug";"Ausbildungstyp - Total";1169;0;1169;658;0;658;511;0;511
"Ausbildungsfeld - Total";"Zug";"EFZ";1094;0;1094;624;0;624;470;0;470
"Ausbildungsfeld - Total";"Zug";"EBA";75;0;75;34;0;34;41;0;41
"Ausbildungsfeld - Total";"Zug";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Fribourg / Freiburg";"Ausbildungstyp - Total";2691;192;2499;1621;106;1515;1070;86;984
"Ausbildungsfeld - Total";"Fribourg / Freiburg";"EFZ";2522;170;2352;1546;106;1440;976;64;912
"Ausbildungsfeld - Total";"Fribourg / Freiburg";"EBA";128;17;111;72;0;72;56;17;39
"Ausbildungsfeld - Total";"Fribourg / Freiburg";"Nicht reglementiert";41;5;36;3;0;3;38;5;33
"Ausbildungsfeld - Total";"Solothurn";"Ausbildungstyp - Total";2232;13;2219;1228;9;1219;1004;4;1000
"Ausbildungsfeld - Total";"Solothurn";"EFZ";1951;13;1938;1090;9;1081;861;4;857
"Ausbildungsfeld - Total";"Solothurn";"EBA";233;0;233;137;0;137;96;0;96
"Ausbildungsfeld - Total";"Solothurn";"Nicht reglementiert";48;0;48;1;0;1;47;0;47
"Ausbildungsfeld - Total";"Basel-Stadt";"Ausbildungstyp - Total";1994;59;1935;1013;33;980;981;26;955
"Ausbildungsfeld - Total";"Basel-Stadt";"EFZ";1691;45;1646;899;29;870;792;16;776
"Ausbildungsfeld - Total";"Basel-Stadt";"EBA";242;1;241;111;1;110;131;0;131
"Ausbildungsfeld - Total";"Basel-Stadt";"Nicht reglementiert";61;13;48;3;3;0;58;10;48
"Ausbildungsfeld - Total";"Basel-Landschaft";"Ausbildungstyp - Total";2126;0;2126;1364;0;1364;762;0;762
"Ausbildungsfeld - Total";"Basel-Landschaft";"EFZ";1767;0;1767;1104;0;1104;663;0;663
"Ausbildungsfeld - Total";"Basel-Landschaft";"EBA";199;0;199;124;0;124;75;0;75
"Ausbildungsfeld - Total";"Basel-Landschaft";"Nicht reglementiert";160;0;160;136;0;136;24;0;24
"Ausbildungsfeld - Total";"Schaffhausen";"Ausbildungstyp - Total";882;0;882;483;0;483;399;0;399
"Ausbildungsfeld - Total";"Schaffhausen";"EFZ";814;0;814;448;0;448;366;0;366
"Ausbildungsfeld - Total";"Schaffhausen";"EBA";51;0;51;33;0;33;18;0;18
"Ausbildungsfeld - Total";"Schaffhausen";"Nicht reglementiert";17;0;17;2;0;2;15;0;15
"Ausbildungsfeld - Total";"Appenzell Ausserrhoden";"Ausbildungstyp - Total";482;0;482;265;0;265;217;0;217
"Ausbildungsfeld - Total";"Appenzell Ausserrhoden";"EFZ";457;0;457;253;0;253;204;0;204
"Ausbildungsfeld - Total";"Appenzell Ausserrhoden";"EBA";25;0;25;12;0;12;13;0;13
"Ausbildungsfeld - Total";"Appenzell Ausserrhoden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Appenzell Innerrhoden";"Ausbildungstyp - Total";161;0;161;84;0;84;77;0;77
"Ausbildungsfeld - Total";"Appenzell Innerrhoden";"EFZ";156;0;156;84;0;84;72;0;72
"Ausbildungsfeld - Total";"Appenzell Innerrhoden";"EBA";5;0;5;0;0;0;5;0;5
"Ausbildungsfeld - Total";"Appenzell Innerrhoden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"St. Gallen";"Ausbildungstyp - Total";5571;21;5550;3140;3;3137;2431;18;2413
"Ausbildungsfeld - Total";"St. Gallen";"EFZ";5168;21;5147;2938;3;2935;2230;18;2212
"Ausbildungsfeld - Total";"St. Gallen";"EBA";388;0;388;196;0;196;192;0;192
"Ausbildungsfeld - Total";"St. Gallen";"Nicht reglementiert";15;0;15;6;0;6;9;0;9
"Ausbildungsfeld - Total";"Graubünden / Grigioni / Grischun";"Ausbildungstyp - Total";2026;0;2026;1159;0;1159;867;0;867
"Ausbildungsfeld - Total";"Graubünden / Grigioni / Grischun";"EFZ";1882;0;1882;1087;0;1087;795;0;795
"Ausbildungsfeld - Total";"Graubünden / Grigioni / Grischun";"EBA";119;0;119;64;0;64;55;0;55
"Ausbildungsfeld - Total";"Graubünden / Grigioni / Grischun";"Nicht reglementiert";25;0;25;8;0;8;17;0;17
"Ausbildungsfeld - Total";"Aargau";"Ausbildungstyp - Total";5478;12;5466;3094;12;3082;2384;0;2384
"Ausbildungsfeld - Total";"Aargau";"EFZ";5135;0;5135;2898;0;2898;2237;0;2237
"Ausbildungsfeld - Total";"Aargau";"EBA";331;0;331;184;0;184;147;0;147
"Ausbildungsfeld - Total";"Aargau";"Nicht reglementiert";12;12;0;12;12;0;0;0;0
"Ausbildungsfeld - Total";"Thurgau";"Ausbildungstyp - Total";2458;0;2458;1449;0;1449;1009;0;1009
"Ausbildungsfeld - Total";"Thurgau";"EFZ";2262;0;2262;1336;0;1336;926;0;926
"Ausbildungsfeld - Total";"Thurgau";"EBA";183;0;183;112;0;112;71;0;71
"Ausbildungsfeld - Total";"Thurgau";"Nicht reglementiert";13;0;13;1;0;1;12;0;12
"Ausbildungsfeld - Total";"Ticino";"Ausbildungstyp - Total";3034;692;2342;1925;353;1572;1109;339;770
"Ausbildungsfeld - Total";"Ticino";"EFZ";2871;692;2179;1829;353;1476;1042;339;703
"Ausbildungsfeld - Total";"Ticino";"EBA";138;0;138;86;0;86;52;0;52
"Ausbildungsfeld - Total";"Ticino";"Nicht reglementiert";25;0;25;10;0;10;15;0;15
"Ausbildungsfeld - Total";"Vaud";"Ausbildungstyp - Total";6655;830;5825;3897;485;3412;2758;345;2413
"Ausbildungsfeld - Total";"Vaud";"EFZ";6255;816;5439;3673;484;3189;2582;332;2250
"Ausbildungsfeld - Total";"Vaud";"EBA";365;0;365;223;0;223;142;0;142
"Ausbildungsfeld - Total";"Vaud";"Nicht reglementiert";35;14;21;1;1;0;34;13;21
"Ausbildungsfeld - Total";"Valais / Wallis";"Ausbildungstyp - Total";3039;301;2738;1844;118;1726;1195;183;1012
"Ausbildungsfeld - Total";"Valais / Wallis";"EFZ";2829;257;2572;1750;111;1639;1079;146;933
"Ausbildungsfeld - Total";"Valais / Wallis";"EBA";155;11;144;86;0;86;69;11;58
"Ausbildungsfeld - Total";"Valais / Wallis";"Nicht reglementiert";55;33;22;8;7;1;47;26;21
"Ausbildungsfeld - Total";"Neuchâtel";"Ausbildungstyp - Total";1989;463;1526;1138;297;841;851;166;685
"Ausbildungsfeld - Total";"Neuchâtel";"EFZ";1811;463;1348;1057;297;760;754;166;588
"Ausbildungsfeld - Total";"Neuchâtel";"EBA";125;0;125;68;0;68;57;0;57
"Ausbildungsfeld - Total";"Neuchâtel";"Nicht reglementiert";53;0;53;13;0;13;40;0;40
"Ausbildungsfeld - Total";"Genève";"Ausbildungstyp - Total";3827;1220;2607;2278;758;1520;1549;462;1087
"Ausbildungsfeld - Total";"Genève";"EFZ";3185;1162;2023;2004;751;1253;1181;411;770
"Ausbildungsfeld - Total";"Genève";"EBA";163;0;163;97;0;97;66;0;66
"Ausbildungsfeld - Total";"Genève";"Nicht reglementiert";479;58;421;177;7;170;302;51;251
"Ausbildungsfeld - Total";"Jura";"Ausbildungstyp - Total";779;156;623;464;57;407;315;99;216
"Ausbildungsfeld - Total";"Jura";"EFZ";733;150;583;435;55;380;298;95;203
"Ausbildungsfeld - Total";"Jura";"EBA";46;6;40;29;2;27;17;4;13
"Ausbildungsfeld - Total";"Jura";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Musik und darstellende Kunst";"Schweiz";"Ausbildungstyp - Total";18;0;18;2;0;2;16;0;16
