"Eintritte nach Ausbildungsfeld, Kanton, Ausbildungstyp, Geschlecht und Ausbildungsform"

"Ausbildungsfeld";"Kanton";"Ausbildungstyp";"Geschlecht - Total Ausbildungsform - Total 2013";"Geschlecht - Total Vollschulisch 2013";"Geschlecht - Total Dual 2013";"Mann Ausbildungsform - Total 2013";"Mann Vollschulisch 2013";"Mann Dual 2013";"Frau Ausbildungsform - Total 2013";"Frau Vollschulisch 2013";"Frau Dual 2013"
"Ausbildungsfeld - Total";"Schweiz";"Ausbildungstyp - Total";78292;7351;70941;44886;4079;40807;33406;3272;30134
"Ausbildungsfeld - Total";"Schweiz";"EFZ";71341;7144;64197;41007;3959;37048;30334;3185;27149
"Ausbildungsfeld - Total";"Schweiz";"EBA";6909;168;6741;3872;114;3758;3037;54;2983
"Ausbildungsfeld - Total";"Schweiz";"Nicht reglementiert";42;39;3;7;6;1;35;33;2
"Ausbildungsfeld - Total";"Zürich";"Ausbildungstyp - Total";12405;210;12195;6762;166;6596;5643;44;5599
"Ausbildungsfeld - Total";"Zürich";"EFZ";11296;203;11093;6175;159;6016;5121;44;5077
"Ausbildungsfeld - Total";"Zürich";"EBA";1109;7;1102;587;7;580;522;0;522
"Ausbildungsfeld - Total";"Zürich";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Bern / Berne";"Ausbildungstyp - Total";10199;495;9704;5704;341;5363;4495;154;4341
"Ausbildungsfeld - Total";"Bern / Berne";"EFZ";9219;385;8834;5123;255;4868;4096;130;3966
"Ausbildungsfeld - Total";"Bern / Berne";"EBA";980;110;870;581;86;495;399;24;375
"Ausbildungsfeld - Total";"Bern / Berne";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Luzern";"Ausbildungstyp - Total";4187;15;4172;2353;7;2346;1834;8;1826
"Ausbildungsfeld - Total";"Luzern";"EFZ";3722;15;3707;2102;7;2095;1620;8;1612
"Ausbildungsfeld - Total";"Luzern";"EBA";465;0;465;251;0;251;214;0;214
"Ausbildungsfeld - Total";"Luzern";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Uri";"Ausbildungstyp - Total";403;0;403;234;0;234;169;0;169
"Ausbildungsfeld - Total";"Uri";"EFZ";381;0;381;219;0;219;162;0;162
"Ausbildungsfeld - Total";"Uri";"EBA";22;0;22;15;0;15;7;0;7
"Ausbildungsfeld - Total";"Uri";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Schwyz";"Ausbildungstyp - Total";1252;21;1231;741;15;726;511;6;505
"Ausbildungsfeld - Total";"Schwyz";"EFZ";1132;21;1111;678;15;663;454;6;448
"Ausbildungsfeld - Total";"Schwyz";"EBA";120;0;120;63;0;63;57;0;57
"Ausbildungsfeld - Total";"Schwyz";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Obwalden";"Ausbildungstyp - Total";387;0;387;245;0;245;142;0;142
"Ausbildungsfeld - Total";"Obwalden";"EFZ";365;0;365;230;0;230;135;0;135
"Ausbildungsfeld - Total";"Obwalden";"EBA";22;0;22;15;0;15;7;0;7
"Ausbildungsfeld - Total";"Obwalden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Nidwalden";"Ausbildungstyp - Total";395;0;395;214;0;214;181;0;181
"Ausbildungsfeld - Total";"Nidwalden";"EFZ";365;0;365;201;0;201;164;0;164
"Ausbildungsfeld - Total";"Nidwalden";"EBA";30;0;30;13;0;13;17;0;17
"Ausbildungsfeld - Total";"Nidwalden";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Glarus";"Ausbildungstyp - Total";460;0;460;262;0;262;198;0;198
"Ausbildungsfeld - Total";"Glarus";"EFZ";410;0;410;236;0;236;174;0;174
"Ausbildungsfeld - Total";"Glarus";"EBA";50;0;50;26;0;26;24;0;24
"Ausbildungsfeld - Total";"Glarus";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Zug";"Ausbildungstyp - Total";1218;33;1185;680;15;665;538;18;520
"Ausbildungsfeld - Total";"Zug";"EFZ";1119;33;1086;635;15;620;484;18;466
"Ausbildungsfeld - Total";"Zug";"EBA";99;0;99;45;0;45;54;0;54
"Ausbildungsfeld - Total";"Zug";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Fribourg / Freiburg";"Ausbildungstyp - Total";2852;155;2697;1773;111;1662;1079;44;1035
"Ausbildungsfeld - Total";"Fribourg / Freiburg";"EFZ";2667;155;2512;1668;111;1557;999;44;955
"Ausbildungsfeld - Total";"Fribourg / Freiburg";"EBA";185;0;185;105;0;105;80;0;80
"Ausbildungsfeld - Total";"Fribourg / Freiburg";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Solothurn";"Ausbildungstyp - Total";2287;43;2244;1325;25;1300;962;18;944
"Ausbildungsfeld - Total";"Solothurn";"EFZ";1997;43;1954;1170;25;1145;827;18;809
"Ausbildungsfeld - Total";"Solothurn";"EBA";290;0;290;155;0;155;135;0;135
"Ausbildungsfeld - Total";"Solothurn";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Basel-Stadt";"Ausbildungstyp - Total";1986;58;1928;1015;34;981;971;24;947
"Ausbildungsfeld - Total";"Basel-Stadt";"EFZ";1720;53;1667;898;30;868;822;23;799
"Ausbildungsfeld - Total";"Basel-Stadt";"EBA";266;5;261;117;4;113;149;1;148
"Ausbildungsfeld - Total";"Basel-Stadt";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Basel-Landschaft";"Ausbildungstyp - Total";2031;0;2031;1258;0;1258;773;0;773
"Ausbildungsfeld - Total";"Basel-Landschaft";"EFZ";1751;0;1751;1105;0;1105;646;0;646
"Ausbildungsfeld - Total";"Basel-Landschaft";"EBA";280;0;280;153;0;153;127;0;127
"Ausbildungsfeld - Total";"Basel-Landschaft";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Schaffhausen";"Ausbildungstyp - Total";901;47;854;502;25;477;399;22;377
"Ausbildungsfeld - Total";"Schaffhausen";"EFZ";818;47;771;455;25;430;363;22;341
"Ausbildungsfeld - Total";"Schaffhausen";"EBA";83;0;83;47;0;47;36;0;36
"Ausbildungsfeld - Total";"Schaffhausen";"Nicht reglementiert";0;0;0;0;0;0;0;0;0
"Ausbildungsfeld - Total";"Appenzell Ausserrhoden";"Ausbildungstyp - Total";517;11;506;285;7;278;232;4;228
"Ausbildungsfeld - Total";"Appenzell Ausserrhoden";"EFZ";460;11;449;248;7;241;212;4;208
